
Fr 20. Jun 23:47:47 SAMT 2014
===============================================
POS	Total	Clean	With @	With #	Clean %
n	2018975	1947663	0	71312	96.46
v	1843232	1712192	0	131040	92.89
adv	1081215	1045425	0	35790	96.69
adj	437047	389668	0	47379	89.16
num	196011	196011	0	0	100
det	85539	38019	0	47520	44.45
vaux	31461	468	0	30993	1.49
cnjcoo	25547	22051	0	3496	86.32
post	19215	12393	0	6822	64.5
prn	2341	1909	0	432	81.55
ij	713	684	0	29	95.93
np	0	0	0	0	100
guio	0	0	0	0	100
cnjsub	0	0	0	0	100
cm	0	0	0	0	100
===============================================
